1,AKQJT
2,KQJT9
3,QJT98
4,JT987
5,T9876
6,98765
7,87654
8,76543
9,65432
10,5432A
11,AAAAK
12,AAAAQ
13,AAAAJ
14,AAAAT
15,AAAA9
16,AAAA8
17,AAAA7
18,AAAA6
19,AAAA5
20,AAAA4
21,AAAA3
22,AAAA2
23,KKKKA
24,KKKKQ
25,KKKKJ
26,KKKKT
27,KKKK9
28,KKKK8
29,KKKK7
30,KKKK6
31,KKKK5
32,KKKK4
33,KKKK3
34,KKKK2
35,QQQQA
36,QQQQK
37,QQQQJ
38,QQQQT
39,QQQQ9
40,QQQQ8
41,QQQQ7
42,QQQQ6
43,QQQQ5
44,QQQQ4
45,QQQQ3
46,QQQQ2
47,JJJJA
48,JJJJK
49,JJJJQ
50,JJJJT
51,JJJJ9
52,JJJJ8
53,JJJJ7
54,JJJJ6
55,JJJJ5
56,JJJJ4
57,JJJJ3
58,JJJJ2
59,TTTTA
60,TTTTK
61,TTTTQ
62,TTTTJ
63,TTTT9
64,TTTT8
65,TTTT7
66,TTTT6
67,TTTT5
68,TTTT4
69,TTTT3
70,TTTT2
71,9999A
72,9999K
73,9999Q
74,9999J
75,9999T
76,99998
77,99997
78,99996
79,99995
80,99994
81,99993
82,99992
83,8888A
84,8888K
85,8888Q
86,8888J
87,8888T
88,88889
89,88887
90,88886
91,88885
92,88884
93,88883
94,88882
95,7777A
96,7777K
97,7777Q
98,7777J
99,7777T
100,77779
101,77778
102,77776
103,77775
104,77774
105,77773
106,77772
107,6666A
108,6666K
109,6666Q
110,6666J
111,6666T
112,66669
113,66668
114,66667
115,66665
116,66664
117,66663
118,66662
119,5555A
120,5555K
121,5555Q
122,5555J
123,5555T
124,55559
125,55558
126,55557
127,55556
128,55554
129,55553
130,55552
131,4444A
132,4444K
133,4444Q
134,4444J
135,4444T
136,44449
137,44448
138,44447
139,44446
140,44445
141,44443
142,44442
143,3333A
144,3333K
145,3333Q
146,3333J
147,3333T
148,33339
149,33338
150,33337
151,33336
152,33335
153,33334
154,33332
155,2222A
156,2222K
157,2222Q
158,2222J
159,2222T
160,22229
161,22228
162,22227
163,22226
164,22225
165,22224
166,22223
167,AAAKK
168,AAAQQ
169,AAAJJ
170,AAATT
171,AAA99
172,AAA88
173,AAA77
174,AAA66
175,AAA55
176,AAA44
177,AAA33
178,AAA22
179,KKKAA
180,KKKQQ
181,KKKJJ
182,KKKTT
183,KKK99
184,KKK88
185,KKK77
186,KKK66
187,KKK55
188,KKK44
189,KKK33
190,KKK22
191,QQQAA
192,QQQKK
193,QQQJJ
194,QQQTT
195,QQQ99
196,QQQ88
197,QQQ77
198,QQQ66
199,QQQ55
200,QQQ44
201,QQQ33
202,QQQ22
203,JJJAA
204,JJJKK
205,JJJQQ
206,JJJTT
207,JJJ99
208,JJJ88
209,JJJ77
210,JJJ66
211,JJJ55
212,JJJ44
213,JJJ33
214,JJJ22
215,TTTAA
216,TTTKK
217,TTTQQ
218,TTTJJ
219,TTT99
220,TTT88
221,TTT77
222,TTT66
223,TTT55
224,TTT44
225,TTT33
226,TTT22
227,999AA
228,999KK
229,999QQ
230,999JJ
231,999TT
232,99988
233,99977
234,99966
235,99955
236,99944
237,99933
238,99922
239,888AA
240,888KK
241,888QQ
242,888JJ
243,888TT
244,88899
245,88877
246,88866
247,88855
248,88844
249,88833
250,88822
251,777AA
252,777KK
253,777QQ
254,777JJ
255,777TT
256,77799
257,77788
258,77766
259,77755
260,77744
261,77733
262,77722
263,666AA
264,666KK
265,666QQ
266,666JJ
267,666TT
268,66699
269,66688
270,66677
271,66655
272,66644
273,66633
274,66622
275,555AA
276,555KK
277,555QQ
278,555JJ
279,555TT
280,55599
281,55588
282,55577
283,55566
284,55544
285,55533
286,55522
287,444AA
288,444KK
289,444QQ
290,444JJ
291,444TT
292,44499
293,44488
294,44477
295,44466
296,44455
297,44433
298,44422
299,333AA
300,333KK
301,333QQ
302,333JJ
303,333TT
304,33399
305,33388
306,33377
307,33366
308,33355
309,33344
310,33322
311,222AA
312,222KK
313,222QQ
314,222JJ
315,222TT
316,22299
317,22288
318,22277
319,22266
320,22255
321,22244
322,22233
323,AKQJ9
324,AKQJ8
325,AKQJ7
326,AKQJ6
327,AKQJ5
328,AKQJ4
329,AKQJ3
330,AKQJ2
331,AKQT9
332,AKQT8
333,AKQT7
334,AKQT6
335,AKQT5
336,AKQT4
337,AKQT3
338,AKQT2
339,AKQ98
340,AKQ97
341,AKQ96
342,AKQ95
343,AKQ94
344,AKQ93
345,AKQ92
346,AKQ87
347,AKQ86
348,AKQ85
349,AKQ84
350,AKQ83
351,AKQ82
352,AKQ76
353,AKQ75
354,AKQ74
355,AKQ73
356,AKQ72
357,AKQ65
358,AKQ64
359,AKQ63
360,AKQ62
361,AKQ54
362,AKQ53
363,AKQ52
364,AKQ43
365,AKQ42
366,AKQ32
367,AKJT9
368,AKJT8
369,AKJT7
370,AKJT6
371,AKJT5
372,AKJT4
373,AKJT3
374,AKJT2
375,AKJ98
376,AKJ97
377,AKJ96
378,AKJ95
379,AKJ94
380,AKJ93
381,AKJ92
382,AKJ87
383,AKJ86
384,AKJ85
385,AKJ84
386,AKJ83
387,AKJ82
388,AKJ76
389,AKJ75
390,AKJ74
391,AKJ73
392,AKJ72
393,AKJ65
394,AKJ64
395,AKJ63
396,AKJ62
397,AKJ54
398,AKJ53
399,AKJ52
400,AKJ43
401,AKJ42
402,AKJ32
403,AKT98
404,AKT97
405,AKT96
406,AKT95
407,AKT94
408,AKT93
409,AKT92
410,AKT87
411,AKT86
412,AKT85
413,AKT84
414,AKT83
415,AKT82
416,AKT76
417,AKT75
418,AKT74
419,AKT73
420,AKT72
421,AKT65
422,AKT64
423,AKT63
424,AKT62
425,AKT54
426,AKT53
427,AKT52
428,AKT43
429,AKT42
430,AKT32
431,AK987
432,AK986
433,AK985
434,AK984
435,AK983
436,AK982
437,AK976
438,AK975
439,AK974
440,AK973
441,AK972
442,AK965
443,AK964
444,AK963
445,AK962
446,AK954
447,AK953
448,AK952
449,AK943
450,AK942
451,AK932
452,AK876
453,AK875
454,AK874
455,AK873
456,AK872
457,AK865
458,AK864
459,AK863
460,AK862
461,AK854
462,AK853
463,AK852
464,AK843
465,AK842
466,AK832
467,AK765
468,AK764
469,AK763
470,AK762
471,AK754
472,AK753
473,AK752
474,AK743
475,AK742
476,AK732
477,AK654
478,AK653
479,AK652
480,AK643
481,AK642
482,AK632
483,AK543
484,AK542
485,AK532
486,AK432
487,AQJT9
488,AQJT8
489,AQJT7
490,AQJT6
491,AQJT5
492,AQJT4
493,AQJT3
494,AQJT2
495,AQJ98
496,AQJ97
497,AQJ96
498,AQJ95
499,AQJ94
500,AQJ93
501,AQJ92
502,AQJ87
503,AQJ86
504,AQJ85
505,AQJ84
506,AQJ83
507,AQJ82
508,AQJ76
509,AQJ75
510,AQJ74
511,AQJ73
512,AQJ72
513,AQJ65
514,AQJ64
515,AQJ63
516,AQJ62
517,AQJ54
518,AQJ53
519,AQJ52
520,AQJ43
521,AQJ42
522,AQJ32
523,AQT98
524,AQT97
